"Term","Section","Former","Title","Credits","Instructional Method","Location","Start Date","End Date","Meeting Days","Start Time","End Time","Instructor(s)","Seats Remaining","GERS","Purpose","Prequisites","Notes","Sort","Courses ID"
"Spring 2017 - Day","CHM-220-01","","Bio-Organic Chemistry", 4.0,"EXAM","PYR 031","05/01/17","05/01/17","M","08:30AM","11:00AM","",6,"","undergraduate day","CHM-120","","2","2770"
"Spring 2017 - Day","CHM-220-02","","Bio-Organic Chemistry", 4.0,"LEC","PYR 031","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Dr. Tim Hanks",4,"","undergraduate day","CHM-120","","1","2770"
"Spring 2017 - Day","CHM-220-02","","Bio-Organic Chemistry", 4.0,"EXAM","PYR 031","05/03/17","05/03/17","W","08:30AM","11:00AM","",4,"","undergraduate day","CHM-120","","2","2770"
"Spring 2017 - Day","CHM-230-01","","Inorganic Chemistry", 4.0,"LEC","PYR 231","01/09/17","02/24/17","MTRF","01:00PM","02:20PM","Dr. Laura Wright",4,"","undergraduate day","CHM-120","","1","2771"
"Spring 2017 - Day","CHM-230-01","","Inorganic Chemistry", 4.0,"LAB"," ","01/09/17","02/24/17","","","","Dr. Laura Wright",4,"","undergraduate day","CHM-120","","2","2771"
"Spring 2017 - Day","CHM-240-01","CHM-23","Experimental Techniques", 4.0,"LEC","PYR 231","02/27/17","04/25/17","MTRF","01:00PM","02:20PM","Dr. Paul S. Wagenknecht","FULL","","undergraduate day","CHM-120","","1","2772"
"Spring 2017 - Day","CHM-240-01","CHM-23","Experimental Techniques", 4.0,"LAB"," ","02/27/17","04/25/17","","","","Dr. Paul S. Wagenknecht","FULL","","undergraduate day","CHM-120","","2","2772"
"Spring 2017 - Day","CHM-240-01","CHM-23","Experimental Techniques", 4.0,"EXAM","PYR 231","04/28/17","04/28/17","F","12:00PM","02:30PM","","FULL","","undergraduate day","CHM-120","","3","2772"
"Spring 2017 - Day","CHM-240-02","CHM-23","Experimental Techniques", 4.0,"LEC","PYR 231","02/27/17","04/25/17","MTRF","01:00PM","02:20PM","Dr. Brian C. Goess",4,"","undergraduate day","CHM-120","","1","2772"
"Spring 2017 - Day","CHM-240-02","CHM-23","Experimental Techniques", 4.0,"EXAM","PYR 231","04/28/17","04/28/17","F","12:00PM","02:30PM","Dr. Brian C. Goess",4,"","undergraduate day","CHM-120","","2","2772"
"Spring 2017 - Day","CHM-330-01","CHM-33","Analytical Chemistry", 4.0,"LEC","PYR 249","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Dr. Nicholas J. Kuklinski",10,"","undergraduate day","CHM-310","","1","4298"
"Spring 2017 - Day","CHM-330-01","CHM-33","Analytical Chemistry", 4.0,"ADD","PYR 249","01/09/17","04/25/17","M","02:30PM","04:30PM","Dr. Nicholas J. Kuklinski",10,"","undergraduate day","CHM-310","","2","4298"
"Spring 2017 - Day","CHM-330-01","CHM-33","Analytical Chemistry", 4.0,"EXAM","PYR 249","05/01/17","05/01/17","M","08:30AM","11:00AM","",10,"","undergraduate day","CHM-310","","3","4298"
"Spring 2017 - Day","CHM-340-01","CHM-34","Physical Chemistry II", 4.0,"LEC","PYR 026","01/09/17","04/25/17","TR","11:30AM","12:45PM","Dr. Marion R. Martin",5,"","undergraduate day","CHM-310, MTH-160 and PHY-112","","1","2775"
"Spring 2017 - Day","CHM-340-01","CHM-34","Physical Chemistry II", 4.0,"ADD","PYR 026","01/09/17","04/25/17","T","02:30PM","04:30PM","Dr. Marion R. Martin",5,"","undergraduate day","CHM-310, MTH-160 and PHY-112","","2","2775"
"Spring 2017 - Day","CHM-340-01","CHM-34","Physical Chemistry II", 4.0,"EXAM","PYR 026","04/27/17","04/27/17","R","12:00PM","02:30PM","",5,"","undergraduate day","CHM-310, MTH-160 and PHY-112","","3","2775"
"Spring 2017 - Day","CHM-420-01","","Adv Tpcs in Organic Chemistry", 2.0,"LEC","PYR 249","01/09/17","02/24/17","TR","10:00AM","11:15AM","Dr. Brian C. Goess",11,"","undergraduate day","CHM-220","","1","2777"
"Spring 2017 - Day","CHM-430-01","","Adv Tpcs in Inorganic Chem", 2.0,"LEC","PYR 249","02/27/17","04/25/17","TR","10:00AM","11:15AM","Dr. Jared A. Pienkos",12,"","undergraduate day","CHM-310","","1","2778"
"Spring 2017 - Day","CHM-430-01","","Adv Tpcs in Inorganic Chem", 2.0,"EXAM","PYR 249","05/02/17","05/02/17","T","08:30AM","11:00AM","",12,"","undergraduate day","CHM-310","","2","2778"
"Spring 2017 - Day","CHM-465-01","CHM-44","Advanced Biological Chemistry", 4.0,"LEC","PYR 249","01/09/17","04/25/17","MWF","11:30AM","12:20PM","Dr. Karen L. Buchmueller",6,"","undergraduate day","CHM-460","","1","2782"
"Spring 2017 - Day","CHM-465-01","CHM-44","Advanced Biological Chemistry", 4.0,"LAB","PYR 249","01/09/17","04/25/17","W","01:30PM","04:30PM","Dr. Karen L. Buchmueller",6,"","undergraduate day","CHM-460","","2","2782"
"Spring 2017 - Day","CHM-465-01","CHM-44","Advanced Biological Chemistry", 4.0,"EXAM","PYR 249","05/03/17","05/03/17","W","12:00PM","02:30PM","",6,"","undergraduate day","CHM-460","","3","2782"
"Spring 2017 - Day","CHN-120-01","CHN-12","Elementary Chinese II", 4.0,"LEC","FUR 118","01/09/17","04/25/17","MTWRF","02:30PM","03:20PM","Ms. Hui Yang",18,"","undergraduate day","CHN-110","","1","2795"
"Spring 2017 - Day","CHN-120-01","CHN-12","Elementary Chinese II", 4.0,"EXAM","FUR 118","05/01/17","05/01/17","M","03:30PM","06:00PM","",18,"","undergraduate day","CHN-110","","2","2795"
"Spring 2017 - Day","CHN-120-02","CHN-12","Elementary Chinese II", 4.0,"LEC","FUR 111","01/09/17","04/25/17","MTWRF","10:30AM","11:20AM","Dr. Dongming Zhang",11,"","undergraduate day","CHN-110","instructor permission now required","1","2795"
"Spring 2017 - Day","CHN-120-02","CHN-12","Elementary Chinese II", 4.0,"EXAM","FUR 111","05/03/17","05/03/17","W","08:30AM","11:00AM","",11,"","undergraduate day","CHN-110","instructor permission now required","2","2795"
"Spring 2017 - Day","CHN-202-01","CHN-22","Intermediate Chinese II", 4.0,"LEC","FUR 111","01/09/17","04/25/17","MTRF","11:30AM","12:20PM","Ms. Hui Yang",14,"FL","undergraduate day","CHN-201","","1","2797"
"Spring 2017 - Day","CHN-202-01","CHN-22","Intermediate Chinese II", 4.0,"EXAM","FUR 111","05/03/17","05/03/17","W","12:00PM","02:30PM","",14,"FL","undergraduate day","CHN-201","","2","2797"
"Spring 2017 - Day","CHN-225-01","MLL-A32","Chinese Film", 4.0,"LEC","FUR 106","01/09/17","04/25/17","TR","01:00PM","02:15PM","Dr. Harry H. Kuoshu",2,"VP WC","undergraduate day","","","1","2799"
"Spring 2017 - Day","CHN-225-01","MLL-A32","Chinese Film", 4.0,"ADD","FUR 106","01/09/17","04/25/17","T","02:15PM","04:00PM","",2,"VP WC","undergraduate day","","","2","2799"
"Spring 2017 - Day","CHN-225-01","MLL-A32","Chinese Film", 4.0,"EXAM","FUR 106","05/02/17","05/02/17","T","12:00PM","02:30PM","",2,"VP WC","undergraduate day","","","3","2799"
"Spring 2017 - Day","CHN-230-01","MLL-A34","Survey of Chinese Literature", 4.0,"LEC","HIP 209","01/09/17","04/25/17","TR","10:00AM","11:15AM","Dr. Harry H. Kuoshu","FULL","TA WC","undergraduate day","","","1","2800"
"Spring 2017 - Day","CHN-230-01","MLL-A34","Survey of Chinese Literature", 4.0,"EXAM","HIP 209","05/02/17","05/02/17","T","08:30AM","11:00AM","","FULL","TA WC","undergraduate day","","","2","2800"
"Spring 2017 - Day","CHN-302-01","","Intermediate Chinese IV", 4.0,"LEC","FUR 119","01/09/17","04/25/17","MWF","01:30PM","02:20PM","Ms. Hui Yang",17,"","undergraduate day","CHN-301","","1","2805"
"Spring 2017 - Day","CHN-302-01","","Intermediate Chinese IV", 4.0,"EXAM","FUR 119","05/01/17","05/01/17","M","12:00PM","02:30PM","",17,"","undergraduate day","CHN-301","","2","2805"
"Spring 2017 - Day","CHN-470-01","","Chinese Studies Thesis", 4.0,"SEM"," ","01/09/17","04/25/17","","","","Dr. Kate Kaup",10,"","undergraduate day","","non-standard meeting times, see instructor","1","5271"
"Spring 2017 - Day","COM-101-01","COM-20","Public Speaking", 4.0,"LEC","FUR 136","01/09/17","04/25/17","MWF","08:30AM","09:20AM","Dr. Charles Delancey","FULL","","undergraduate day","","","1","2830"
"Spring 2017 - Day","COM-101-01","COM-20","Public Speaking", 4.0,"EXAM","FUR 136","04/28/17","04/28/17","F","08:30AM","11:00AM","","FULL","","undergraduate day","","","2","2830"
"Spring 2017 - Day","COM-101-02","COM-20","Public Speaking", 4.0,"LEC","FUR 109","01/09/17","04/25/17","TR","10:00AM","11:15AM","Dr. Cynthia P. King","FULL","","undergraduate day","","","1","2830"
"Spring 2017 - Day","COM-101-02","COM-20","Public Speaking", 4.0,"EXAM","FUR 109","05/02/17","05/02/17","T","08:30AM","11:00AM","","FULL","","undergraduate day","","","2","2830"
"Spring 2017 - Day","COM-101-03","COM-20","Public Speaking", 4.0,"LEC","FUR 136","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Dr. Rich Letteri",1,"","undergraduate day","","","1","2830"
"Spring 2017 - Day","COM-101-03","COM-20","Public Speaking", 4.0,"EXAM","FUR 136","05/03/17","05/03/17","W","08:30AM","11:00AM","",1,"","undergraduate day","","","2","2830"
"Spring 2017 - Day","COM-101-04","COM-20","Public Speaking", 4.0,"LEC","FUR 121","01/09/17","04/25/17","TR","11:30AM","12:45PM","Ms. Marta N. Lukacovic","FULL","","undergraduate day","","","1","2830"
"Spring 2017 - Day","COM-101-04","COM-20","Public Speaking", 4.0,"EXAM","FUR 121","04/27/17","04/27/17","R","12:00PM","02:30PM","","FULL","","undergraduate day","","","2","2830"
"Spring 2017 - Day","COM-101-05","COM-20","Public Speaking", 4.0,"LEC","FUR 136","01/09/17","04/25/17","TR","06:00PM","07:15PM","Ms. Lisa A. Bentley","FULL","","undergraduate day","","","1","2830"
"Spring 2017 - Day","COM-101-05","COM-20","Public Speaking", 4.0,"EXAM","FUR 136","05/02/17","05/02/17","T","06:15PM","08:45PM","","FULL","","undergraduate day","","","2","2830"
"Spring 2017 - Day","COM-121-01","","Digital Communication", 4.0,"SKL","FUR 136","01/09/17","04/25/17","TR","08:30AM","10:20AM","Ms. Emily H. Price",2,"VP","undergraduate day","","COM majors only","1","2831"
"Spring 2017 - Day","COM-121-01","","Digital Communication", 4.0,"EXAM","FUR 136","04/27/17","04/27/17","R","08:30AM","11:00AM","",2,"VP","undergraduate day","","COM majors only","2","2831"
"Spring 2017 - Day","COM-121-02","","Digital Communication", 4.0,"SKL","FUR 136","01/09/17","04/25/17","TR","11:30AM","01:20PM","Ms. Emily H. Price","FULL","VP","undergraduate day","","COM majors only","1","2831"
"Spring 2017 - Day","COM-121-02","","Digital Communication", 4.0,"EXAM","FUR 136","04/27/17","04/27/17","R","12:00PM","02:30PM","","FULL","VP","undergraduate day","","COM majors only","2","2831"
"Spring 2017 - Day","COM-121-03","","Digital Communication", 4.0,"SKL","FUR 136","01/09/17","04/25/17","TR","02:30PM","04:20PM","Dr. Janet Kwami","FULL","VP","undergraduate day","","COM majors only","1","2831"
"Spring 2017 - Day","COM-121-03","","Digital Communication", 4.0,"EXAM","FUR 136","04/28/17","04/28/17","F","03:30PM","06:00PM","","FULL","VP","undergraduate day","","COM majors only","2","2831"
"Spring 2017 - Day","COM-131-01","COM-29","Broadcast Communication", 4.0,"SKL","FUR 136","01/09/17","04/25/17","MW","02:30PM","04:20PM","Dr. John S. Armstrong","FULL","","undergraduate day","","","1","2832"
"Spring 2017 - Day","COM-131-01","COM-29","Broadcast Communication", 4.0,"EXAM","FUR 136","05/01/17","05/01/17","M","03:30PM","06:00PM","","FULL","","undergraduate day","","","2","2832"
"Spring 2017 - Day","COM-201-01","COM-30","Introduction to Rhetoric", 4.0,"LEC","FUR 128","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Dr. Rich Letteri",5,"","undergraduate day","","","1","2834"
"Spring 2017 - Day","COM-201-01","COM-30","Introduction to Rhetoric", 4.0,"EXAM","FUR 128","05/01/17","05/01/17","M","08:30AM","11:00AM","",5,"","undergraduate day","","","2","2834"
"Spring 2017 - Day","COM-201-02","COM-30","Introduction to Rhetoric", 4.0,"LEC","FUR 128","01/09/17","04/25/17","TR","11:30AM","12:45PM","Brandon M. Inabinet","FULL","","undergraduate day","","","1","2834"
"Spring 2017 - Day","COM-201-02","COM-30","Introduction to Rhetoric", 4.0,"EXAM","FUR 128","04/27/17","04/27/17","R","12:00PM","02:30PM","","FULL","","undergraduate day","","","2","2834"
"Spring 2017 - Day","COM-221-01","COM-40","Intro to Mass Communication", 4.0,"LEC","FUR 128","01/09/17","04/25/17","MWF","12:30PM","01:20PM","Dr. John S. Armstrong","FULL","","undergraduate day","","","1","2835"
"Spring 2017 - Day","COM-221-01","COM-40","Intro to Mass Communication", 4.0,"EXAM","FUR 128","04/28/17","04/28/17","F","12:00PM","02:30PM","","FULL","","undergraduate day","","","2","2835"
"Spring 2017 - Day","COM-221-02","COM-40","Intro to Mass Communication", 4.0,"LEC","JHN 101","01/09/17","04/25/17","TR","11:30AM","12:45PM","Dr. Janet Kwami","FULL","","undergraduate day","","","1","2835"
"Spring 2017 - Day","COM-221-02","COM-40","Intro to Mass Communication", 4.0,"EXAM","JHN 101","04/27/17","04/27/17","R","12:00PM","02:30PM","","FULL","","undergraduate day","","","2","2835"
"Spring 2017 - Day","COM-318-01","","African American Rhetoric", 4.0,"LEC","FUR 128","01/09/17","04/25/17","T","05:00PM","07:30PM","Dr. Cynthia P. King",1,"TA","undergraduate day","","Saturday simulation exercise required consult instructor","1","5447"
"Spring 2017 - Day","COM-318-01","","African American Rhetoric", 4.0,"EXAM","FUR 128","05/02/17","05/02/17","T","05:00PM","07:30PM","",1,"TA","undergraduate day","","Saturday simulation exercise required consult instructor","2","5447"
"Spring 2017 - Day","COM-325-01","","Mass Media Research Methods", 4.0,"LEC","JHN 203","01/09/17","04/25/17","TR","10:00AM","11:15AM","Dr. Janet Kwami",1,"HB","undergraduate day","","","1","2842"
"Spring 2017 - Day","COM-325-01","","Mass Media Research Methods", 4.0,"EXAM","JHN 203","05/02/17","05/02/17","T","08:30AM","11:00AM","",1,"HB","undergraduate day","","","2","2842"
"Spring 2017 - Day","COM-331-01","","Media History", 4.0,"LEC","FUR 128","01/09/17","04/25/17","TR","08:30AM","09:45AM","Dr. John S. Armstrong","FULL","HA","undergraduate day","","","1","2844"
"Spring 2017 - Day","COM-331-01","","Media History", 4.0,"EXAM","FUR 128","04/27/17","05/07/17","R","08:30AM","11:00AM","","FULL","HA","undergraduate day","","","2","2844"
"Spring 2017 - Day","COM-343-01","COM-50","Organizational Communication", 4.0,"LEC","FUR 128","01/09/17","04/25/17","MWF","11:30AM","12:20PM","Dr. Charles Delancey","FULL","","undergraduate day","","","1","2847"
"Spring 2017 - Day","COM-343-01","COM-50","Organizational Communication", 4.0,"EXAM","FUR 128","05/03/17","05/03/17","W","12:00PM","02:30PM","","FULL","","undergraduate day","","","2","2847"
"Spring 2017 - Day","COM-351-01","COM-26","Advocacy", 4.0,"LEC","FUR 127","01/09/17","04/25/17","MR","02:30PM","03:45PM","Brandon M. Inabinet","FULL","","undergraduate day","","","1","2848"
"Spring 2017 - Day","COM-351-01","COM-26","Advocacy", 4.0,"EXAM","FUR 127","05/01/17","05/01/17","M","03:30PM","06:00PM","","FULL","","undergraduate day","","","2","2848"
"Spring 2017 - Day","COM-360-01","","Italian Film", 4.0,"LEC","RAB LLR","01/09/17","04/25/17","MWF","01:30PM","02:20PM","Dr. Rich Letteri",11,"VP","undergraduate day","","","1","5422"
"Spring 2017 - Day","COM-360-01","","Italian Film", 4.0,"ADD","RAB LLR","01/09/17","04/25/17","W","02:30PM","06:00PM","",11,"VP","undergraduate day","","","2","5422"
"Spring 2017 - Day","COM-360-01","","Italian Film", 4.0,"EXAM","RAB LLR","05/01/17","05/01/17","M","12:00PM","02:30PM","",11,"VP","undergraduate day","","","3","5422"
"Spring 2017 - Day","COM-421B-01","","Mass Media & Pltcl Violence", 4.0,"LEC","FUR 128","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Ms. Marta N. Lukacovic",3,"","undergraduate day","","","1","5743"
"Spring 2017 - Day","COM-421B-01","","Mass Media & Pltcl Violence", 4.0,"EXAM","FUR 128","05/03/17","05/03/17","W","08:30AM","11:00AM","",3,"","undergraduate day","","","2","5743"
"Spring 2017 - Day","COM-460-01","","Communication Ethics", 4.0,"LEC","FUR 128","01/09/17","04/25/17","MWF","01:30PM","02:20PM","Ms. Marta N. Lukacovic","FULL","UQ","undergraduate day","","","1","2860"
"Spring 2017 - Day","COM-460-01","","Communication Ethics", 4.0,"EXAM","FUR 128","05/01/17","05/01/17","M","12:00PM","02:30PM","","FULL","UQ","undergraduate day","","","2","2860"
"Spring 2017 - Day","CSC-025-01","","Programming Workshop", 0.0,"SEM","RLY 203","01/09/17","04/25/17","TR","11:30AM","12:45PM","Dr. Christopher A. Healy",11,"","undergraduate day","","","1","5644"
"Spring 2017 - Day","CSC-025-01","","Programming Workshop", 0.0,"EXAM","RLY 203","04/27/17","04/27/17","R","12:00PM","02:30PM","",11,"","undergraduate day","","","2","5644"
"Spring 2017 - Day","CSC-105-01","","Intro to Computer Science", 4.0,"LEC","RLY 105","01/09/17","04/25/17","MR","02:30PM","03:45PM","Dr. Andrea D. Tartaro",7,"MR","undergraduate day","","","1","5049"
"Spring 2017 - Day","CSC-105-01","","Intro to Computer Science", 4.0,"LAB","RLY 108","01/09/17","04/25/17","T","02:30PM","04:30PM","Dr. Andrea D. Tartaro",7,"MR","undergraduate day","","","2","5049"
"Spring 2017 - Day","CSC-105-01","","Intro to Computer Science", 4.0,"EXAM","RLY 105","05/01/17","05/01/17","M","03:30PM","06:00PM","",7,"MR","undergraduate day","","","3","5049"
"Spring 2017 - Day","CSC-105-02","","Intro to Computer Science", 4.0,"LEC","RLY 105","01/09/17","04/25/17","MR","02:30PM","03:45PM","Dr. Andrea D. Tartaro",8,"MR","undergraduate day","","","1","5049"
"Spring 2017 - Day","CSC-105-02","","Intro to Computer Science", 4.0,"LAB","RLY 108","01/09/17","04/25/17","W","02:30PM","04:30PM","Dr. Andrea D. Tartaro",8,"MR","undergraduate day","","","2","5049"
"Spring 2017 - Day","CSC-105-02","","Intro to Computer Science", 4.0,"EXAM","RLY 105","05/01/17","05/01/17","M","03:30PM","06:00PM","",8,"MR","undergraduate day","","","3","5049"
"Spring 2017 - Day","CSC-121-01","CS-11","Intro to Computer Programming", 4.0,"LEC","RLY 204","01/09/17","04/25/17","TR","10:00AM","11:15AM","Dr. Tom Allen",2,"MR","undergraduate day","CSC-105, BIO-111, CHM-110, EES-110, EES-112, EES-113, MTH-141, MTH-150, or PHY-111","","1","2872"
"Spring 2017 - Day","CSC-121-01","CS-11","Intro to Computer Programming", 4.0,"LAB","RLY 201","01/09/17","04/25/17","W","02:30PM","04:30PM","Dr. Tom Allen",2,"MR","undergraduate day","CSC-105, BIO-111, CHM-110, EES-110, EES-112, EES-113, MTH-141, MTH-150, or PHY-111","","2","2872"
"Spring 2017 - Day","CSC-121-01","CS-11","Intro to Computer Programming", 4.0,"ADD","RLY 201","01/09/17","04/25/17","TR","10:00AM","11:15AM","",2,"MR","undergraduate day","CSC-105, BIO-111, CHM-110, EES-110, EES-112, EES-113, MTH-141, MTH-150, or PHY-111","","3","2872"
"Spring 2017 - Day","CSC-121-01","CS-11","Intro to Computer Programming", 4.0,"EXAM","RLY 204","05/02/17","05/02/17","T","08:30AM","11:00AM","",2,"MR","undergraduate day","CSC-105, BIO-111, CHM-110, EES-110, EES-112, EES-113, MTH-141, MTH-150, or PHY-111","","4","2872"
"Spring 2017 - Day","CSC-121-02","CS-11","Intro to Computer Programming", 4.0,"LEC","RLY 204","01/09/17","04/25/17","TR","01:00PM","02:15PM","Dr. Tom Allen","FULL","MR","undergraduate day","CSC-105, BIO-111, CHM-110, EES-110, EES-112, EES-113, MTH-141, MTH-150, or PHY-111","","1","2872"
"Spring 2017 - Day","CSC-121-02","CS-11","Intro to Computer Programming", 4.0,"LAB","RLY 204","01/09/17","04/25/17","T","02:30PM","04:30PM","","FULL","MR","undergraduate day","CSC-105, BIO-111, CHM-110, EES-110, EES-112, EES-113, MTH-141, MTH-150, or PHY-111","","2","2872"
"Spring 2017 - Day","CSC-121-02","CS-11","Intro to Computer Programming", 4.0,"ADD","RLY 201","01/09/17","04/25/17","TR","01:00PM","02:15PM","","FULL","MR","undergraduate day","CSC-105, BIO-111, CHM-110, EES-110, EES-112, EES-113, MTH-141, MTH-150, or PHY-111","","3","2872"
"Spring 2017 - Day","CSC-121-02","CS-11","Intro to Computer Programming", 4.0,"EXAM","RLY 204","05/02/17","05/02/17","T","12:00PM","02:30PM","","FULL","MR","undergraduate day","CSC-105, BIO-111, CHM-110, EES-110, EES-112, EES-113, MTH-141, MTH-150, or PHY-111","","4","2872"
"Spring 2017 - Day","CSC-122-01","CS-12","Data Structures & Algorithms", 4.0,"LEC","RLY 106","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Bryan Catron",7,"","undergraduate day","CSC-105 and CSC-121","","1","2873"
"Spring 2017 - Day","CSC-122-01","CS-12","Data Structures & Algorithms", 4.0,"LAB","RLY 201","01/09/17","04/25/17","R","02:30PM","04:30PM","Bryan Catron",7,"","undergraduate day","CSC-105 and CSC-121","","2","2873"
"Spring 2017 - Day","CSC-122-01","CS-12","Data Structures & Algorithms", 4.0,"ADD","RLY 201","01/09/17","04/25/17","MWF","09:30AM","10:20AM","",7,"","undergraduate day","CSC-105 and CSC-121","","3","2873"
"Spring 2017 - Day","CSC-122-01","CS-12","Data Structures & Algorithms", 4.0,"EXAM","RLY 106","05/01/17","05/01/17","M","08:30AM","11:00AM","",7,"","undergraduate day","CSC-105 and CSC-121","","4","2873"
"Spring 2017 - Day","CSC-231-01","CS-25","Computer Organization", 4.0,"LEC","RLY 204","01/09/17","04/25/17","MWF","11:30AM","12:20PM","Bryan Catron",5,"","undergraduate day","CSC-105 and CSC-121","","1","2875"
"Spring 2017 - Day","CSC-231-01","CS-25","Computer Organization", 4.0,"LAB","RLY 203","01/09/17","04/25/17","T","02:30PM","04:30PM","Bryan Catron",5,"","undergraduate day","CSC-105 and CSC-121","","2","2875"
"Spring 2017 - Day","CSC-231-01","CS-25","Computer Organization", 4.0,"ADD","RLY 204","01/09/17","04/25/17","T","02:30PM","04:30PM","",5,"","undergraduate day","CSC-105 and CSC-121","","3","2875"
"Spring 2017 - Day","CSC-231-01","CS-25","Computer Organization", 4.0,"EXAM","RLY 204","05/03/17","05/03/17","W","12:00PM","02:30PM","",5,"","undergraduate day","CSC-105 and CSC-121","","4","2875"
"Spring 2017 - Day","CSC-361-01","CS-30","Information Structures", 4.0,"LEC","RLY 204","01/09/17","04/25/17","MWF","01:30PM","02:20PM","Dr. Christopher A. Healy",4,"","undergraduate day","CSC-122 and 261 or MTH-260","","1","2887"
"Spring 2017 - Day","CSC-361-01","CS-30","Information Structures", 4.0,"LAB","RLY 203","01/09/17","04/25/17","W","02:30PM","04:30PM","Dr. Christopher A. Healy",4,"","undergraduate day","CSC-122 and 261 or MTH-260","","2","2887"
"Spring 2017 - Day","CSC-361-01","CS-30","Information Structures", 4.0,"ADD","RLY 204","01/09/17","04/25/17","W","02:30PM","04:30PM","",4,"","undergraduate day","CSC-122 and 261 or MTH-260","","3","2887"
"Spring 2017 - Day","CSC-361-01","CS-30","Information Structures", 4.0,"EXAM","RLY 204","05/01/17","05/01/17","M","12:00PM","02:30PM","",4,"","undergraduate day","CSC-122 and 261 or MTH-260","","4","2887"
"Spring 2017 - Day","CSC-362-01","","Information Security", 4.0,"LEC","RLY 204","01/09/17","04/25/17","MWF","12:30PM","01:20PM","Dr. Tom Allen",3,"","undergraduate day","CSC-121","","1","5202"
"Spring 2017 - Day","CSC-362-01","","Information Security", 4.0,"LAB","RLY 203","01/09/17","04/25/17","M","02:30PM","04:30PM","Dr. Tom Allen",3,"","undergraduate day","CSC-121","","2","5202"
"Spring 2017 - Day","CSC-362-01","","Information Security", 4.0,"ADD","RLY 204","01/09/17","04/25/17","M","02:30PM","04:30PM","",3,"","undergraduate day","CSC-121","","3","5202"
"Spring 2017 - Day","CSC-362-01","","Information Security", 4.0,"EXAM","RLY 204","04/28/17","04/28/17","F","12:00PM","02:30PM","",3,"","undergraduate day","CSC-121","","4","5202"
"Spring 2017 - Day","CSC-461-01","CS-44","Computational Theory", 4.0,"LEC","RLY 204","01/09/17","04/25/17","MWF","09:30AM","10:20AM","Dr. Kevin Treu","FULL","","undergraduate day","CSC-122 and 261 or MTH-260","","1","2889"
"Spring 2017 - Day","CSC-461-01","CS-44","Computational Theory", 4.0,"EXAM","RLY 204","05/01/17","05/01/17","M","08:30AM","11:00AM","","FULL","","undergraduate day","CSC-122 and 261 or MTH-260","","2","2889"
"Spring 2017 - Day","CSC-475-01","CS-75","Seminar in Computer Science", 4.0,"SEM","RLY 101","01/09/17","04/25/17","TR","10:00AM","11:15AM","Dr. Andrea D. Tartaro",2,"","undergraduate day","","","1","2891"
"Spring 2017 - Day","CSC-475-01","CS-75","Seminar in Computer Science", 4.0,"EXAM","RLY 101","05/02/17","05/02/17","T","08:30AM","11:00AM","",2,"","undergraduate day","","","2","2891"
"Spring 2017 - Day","CSC-475-02","CS-75","Seminar in Computer Science", 4.0,"SEM","RLY 105","01/09/17","04/25/17","TR","01:00PM","02:15PM","Dr. Andrea D. Tartaro",3,"","undergraduate day","","","1","2891"
"Spring 2017 - Day","CSC-475-02","CS-75","Seminar in Computer Science", 4.0,"EXAM","RLY 105","05/02/17","05/02/17","T","12:00PM","02:30PM","",3,"","undergraduate day","","","2","2891"
"Spring 2017 - Day","ECN-100-01","ECN-10","Personal Finance", 4.0,"LEC","HIP 204","01/09/17","04/25/17","TR","01:00PM","02:15PM","Dr. Bruce Brown","FULL","","undergraduate day","","","1","2896"
"Spring 2017 - Day","ECN-100-01","ECN-10","Personal Finance", 4.0,"EXAM","HIP 204","05/02/17","05/02/17","T","12:00PM","02:30PM","","FULL","","undergraduate day","","","2","2896"
"Spring 2017 - Day","ECN-111-01","ECN-11","Introduction to Economics", 4.0,"LEC","HIP 107","01/09/17","04/25/17","MWF","10:30AM","11:20AM","Dr. Jeffrey J. Yankow","FULL","HB","undergraduate day","","","1","2899"
"Spring 2017 - Day","ECN-111-01","ECN-11","Introduction to Economics", 4.0,"EXAM","HIP 107","05/03/17","05/03/17","W","08:30AM","11:00AM","","FULL","HB","undergraduate day","","","2","2899"
"Spring 2017 - Day","ECN-111-02","ECN-11","Introduction to Economics", 4.0,"LEC","RLY 109E","01/09/17","04/25/17","MWF","01:30PM","02:20PM","Dr. Jeffrey J. Yankow","FULL","HB","undergraduate day","","","1","2899"
"Spring 2017 - Day","ECN-111-02","ECN-11","Introduction to Economics", 4.0,"EXAM","RLY 109E","05/01/17","05/01/17","M","12:00PM","02:30PM","","FULL","HB","undergraduate day","","","2","2899"
"Spring 2017 - Day","ECN-111-03","ECN-11","Introduction to Economics", 4.0,"LEC","RLY 105","01/09/17","04/25/17","TR","10:00AM","11:15AM","Dr. Robert S. Arden","FULL","HB","undergraduate day","","","1","2899"
"Spring 2017 - Day","ECN-111-03","ECN-11","Introduction to Economics", 4.0,"EXAM","RLY 105","05/02/17","05/02/17","T","08:30AM","11:00AM","","FULL","HB","undergraduate day","","","2","2899"
